average delivered (percent), min delivered (percent), max delivered (percent), Message count
36.6, 24.0, 52.0, 25
38.0, 24.0, 44.0, 50
39.4, 30.6666666667, 52.0, 75
38.9, 30.0, 46.0, 100
39.2, 31.2, 47.2, 125
38.6666666667, 29.3333333333, 44.0, 150
40.9714285714, 35.4285714286, 45.7142857143, 175
40.55, 32.5, 45.5, 200
39.8444444444, 33.7777777778, 46.6666666667, 225
39.7, 30.4, 49.2, 250
38.5272727273, 32.0, 46.1818181818, 275
40.0666666667, 34.6666666667, 44.0, 300
38.3692307692, 33.2307692308, 44.0, 325
41.1428571429, 36.8571428571, 47.4285714286, 350
38.5333333333, 34.1333333333, 43.7333333333, 375
39.05, 34.0, 44.0, 400
39.7294117647, 34.8235294118, 43.5294117647, 425
39.5555555556, 32.8888888889, 44.4444444444, 450
39.7368421053, 36.2105263158, 44.0, 475
39.4, 35.8, 42.6, 500
38.780952381, 34.6666666667, 43.2380952381, 525
39.2727272727, 36.1818181818, 45.0909090909, 550
40.1391304348, 35.652173913, 43.3043478261, 575
39.975, 36.1666666667, 45.0, 600
40.952, 35.84, 45.6, 625
39.5230769231, 33.5384615385, 43.3846153846, 650
39.4666666667, 34.5185185185, 43.2592592593, 675
39.9428571429, 35.4285714286, 42.8571428571, 700
38.924137931, 35.4482758621, 44.5517241379, 725
39.8133333333, 36.0, 45.3333333333, 750
38.5806451613, 34.1935483871, 42.1935483871, 775
39.2875, 35.875, 43.375, 800
