average delivered (percent), min delivered (percent), max delivered (percent), Message count
95.2, 88.0, 100.0, 25
94.4, 84.0, 100.0, 50
95.2666666667, 90.6666666667, 98.6666666667, 75
94.7, 90.0, 98.0, 100
93.16, 89.6, 97.6, 125
91.9666666667, 87.3333333333, 95.3333333333, 150
90.6571428571, 84.0, 94.2857142857, 175
87.275, 83.5, 92.0, 200
85.0888888889, 81.7777777778, 88.4444444444, 225
83.44, 79.6, 90.4, 250
81.4909090909, 76.0, 86.5454545455, 275
79.5833333333, 77.0, 83.0, 300
76.6615384615, 72.6153846154, 80.6153846154, 325
74.9857142857, 69.1428571429, 78.2857142857, 350
73.5333333333, 71.2, 79.7333333333, 375
72.3375, 69.5, 75.25, 400
70.8, 65.8823529412, 74.5882352941, 425
68.3333333333, 62.4444444444, 71.5555555556, 450
67.1894736842, 63.3684210526, 69.8947368421, 475
65.89, 61.4, 69.0, 500
65.0857142857, 61.3333333333, 68.7619047619, 525
63.4, 59.0909090909, 67.6363636364, 550
61.5391304348, 58.7826086957, 64.5217391304, 575
60.7666666667, 59.0, 63.6666666667, 600
60.496, 57.12, 63.52, 625
59.1076923077, 56.3076923077, 62.6153846154, 650
58.3777777778, 54.6666666667, 61.9259259259, 675
57.6357142857, 54.5714285714, 61.8571428571, 700
56.5172413793, 52.9655172414, 59.5862068966, 725
55.8266666667, 52.0, 58.6666666667, 750
55.6451612903, 52.0, 58.7096774194, 775
53.84375, 51.875, 55.375, 800
