average delivered (percent), min delivered (percent), max delivered (percent), Message count
95.8, 92.0, 100.0, 25
95.2, 88.0, 100.0, 50
94.0666666667, 89.3333333333, 98.6666666667, 75
95.2, 91.0, 100.0, 100
95.92, 89.6, 100.0, 125
95.5, 91.3333333333, 98.6666666667, 150
94.9714285714, 92.0, 98.2857142857, 175
95.175, 92.0, 97.0, 200
94.8, 90.6666666667, 97.7777777778, 225
94.06, 90.8, 98.8, 250
94.0727272727, 90.5454545455, 96.3636363636, 275
93.0833333333, 89.3333333333, 95.3333333333, 300
93.0307692308, 90.4615384615, 94.7692307692, 325
92.4714285714, 89.1428571429, 94.2857142857, 350
92.0, 89.8666666667, 94.1333333333, 375
91.0875, 88.25, 93.0, 400
90.0588235294, 86.8235294118, 93.6470588235, 425
89.4222222222, 86.4444444444, 92.0, 450
87.8105263158, 84.6315789474, 90.3157894737, 475
87.51, 84.8, 89.8, 500
86.0, 83.619047619, 88.5714285714, 525
84.6454545455, 79.8181818182, 86.7272727273, 550
85.0956521739, 82.7826086957, 87.8260869565, 575
83.0416666667, 80.5, 85.0, 600
82.792, 79.84, 84.8, 625
80.9461538462, 77.6923076923, 84.4615384615, 650
80.4814814815, 77.3333333333, 84.5925925926, 675
79.4357142857, 76.8571428571, 82.4285714286, 700
78.9172413793, 74.3448275862, 81.7931034483, 725
77.54, 75.6, 80.2666666667, 750
76.7032258065, 73.1612903226, 79.8709677419, 775
75.575, 73.875, 77.875, 800
