average delivered (percent), min delivered (percent), max delivered (percent), Message count
71.2, 52.0, 88.0, 25
67.5, 56.0, 80.0, 50
70.8, 60.0, 82.6666666667, 75
68.65, 63.0, 76.0, 100
68.16, 61.6, 76.8, 125
69.2666666667, 62.0, 76.6666666667, 150
67.2857142857, 61.1428571429, 73.7142857143, 175
68.425, 62.5, 73.5, 200
65.9111111111, 60.0, 71.5555555556, 225
69.64, 64.4, 74.0, 250
69.1090909091, 64.3636363636, 76.3636363636, 275
68.3166666667, 61.6666666667, 74.3333333333, 300
66.8461538462, 61.8461538462, 72.6153846154, 325
67.4714285714, 62.5714285714, 72.8571428571, 350
67.2, 61.6, 71.7333333333, 375
67.475, 62.5, 72.0, 400
67.2823529412, 63.2941176471, 73.1764705882, 425
67.5111111111, 63.5555555556, 70.2222222222, 450
66.7684210526, 64.0, 71.3684210526, 475
65.98, 62.8, 71.8, 500
64.8, 61.3333333333, 68.380952381, 525
64.6272727273, 61.4545454545, 69.8181818182, 550
65.1565217391, 62.4347826087, 68.6956521739, 575
64.35, 60.3333333333, 67.3333333333, 600
63.36, 60.96, 65.76, 625
62.9076923077, 59.6923076923, 66.0, 650
62.4666666667, 58.6666666667, 66.3703703704, 675
62.3785714286, 58.8571428571, 65.1428571429, 700
61.7172413793, 58.0689655172, 65.1034482759, 725
60.8266666667, 57.6, 63.4666666667, 750
60.2774193548, 57.2903225806, 62.5806451613, 775
59.79375, 57.75, 61.75, 800
