average delivered (percent), min delivered (percent), max delivered (percent), Message Count
84.2, 68.0, 92.0, 25
80.8, 66.0, 90.0, 50
82.3333333333, 73.3333333333, 92.0, 75
83.0, 78.0, 88.0, 100
81.92, 76.8, 86.4, 125
81.5666666667, 75.3333333333, 88.6666666667, 150
81.1142857143, 74.8571428571, 88.5714285714, 175
80.625, 74.5, 86.5, 200
81.2666666667, 77.7777777778, 85.3333333333, 225
81.38, 77.2, 84.4, 250
80.6727272727, 77.4545454545, 85.8181818182, 275
80.05, 75.6666666667, 84.3333333333, 300
80.5692307692, 75.0769230769, 86.1538461538, 325
78.5142857143, 73.4285714286, 81.7142857143, 350
78.32, 75.2, 82.6666666667, 375
77.4, 74.0, 81.25, 400
77.5294117647, 73.6470588235, 82.1176470588, 425
76.1777777778, 73.3333333333, 79.3333333333, 450
75.2315789474, 72.6315789474, 78.7368421053, 475
74.88, 72.2, 79.4, 500
73.8476190476, 69.9047619048, 77.9047619048, 525
72.3272727273, 68.3636363636, 76.3636363636, 550
71.4, 67.8260869565, 74.4347826087, 575
70.4416666667, 67.1666666667, 74.0, 600
68.744, 65.44, 72.96, 625
68.7769230769, 65.6923076923, 74.0, 650
67.6518518519, 65.3333333333, 71.1111111111, 675
67.0357142857, 63.4285714286, 69.5714285714, 700
65.675862069, 62.4827586207, 68.9655172414, 725
64.8066666667, 60.8, 68.2666666667, 750
63.8709677419, 60.3870967742, 66.5806451613, 775
63.7125, 61.375, 66.625, 800
