average delivered (percent), min delivered (percent), max delivered (percent), Message count
8.0, 0.0, 20.0, 25
5.7, 0.0, 12.0, 50
6.73333333333, 4.0, 10.6666666667, 75
5.85, 2.0, 9.0, 100
6.88, 3.2, 13.6, 125
7.03333333333, 2.0, 9.33333333333, 150
6.68571428571, 4.0, 10.8571428571, 175
6.525, 3.5, 8.5, 200
7.11111111111, 4.0, 10.2222222222, 225
6.72, 4.0, 9.2, 250
6.30909090909, 3.63636363636, 8.0, 275
6.88333333333, 4.0, 10.6666666667, 300
6.47692307692, 3.69230769231, 9.23076923077, 325
6.98571428571, 3.42857142857, 9.14285714286, 350
6.64, 4.8, 9.33333333333, 375
6.925, 4.0, 9.0, 400
6.58823529412, 5.17647058824, 8.47058823529, 425
6.45555555556, 3.33333333333, 9.11111111111, 450
6.71578947368, 4.63157894737, 8.42105263158, 475
6.71, 3.8, 9.0, 500
6.55238095238, 5.14285714286, 8.19047619048, 525
6.99090909091, 4.0, 9.81818181818, 550
6.79130434783, 5.21739130435, 8.34782608696, 575
6.48333333333, 4.33333333333, 8.0, 600
6.816, 4.96, 9.28, 625
6.7, 4.46153846154, 8.30769230769, 650
6.74074074074, 5.03703703704, 8.2962962963, 675
6.73571428571, 4.57142857143, 8.42857142857, 700
6.82068965517, 4.8275862069, 8.55172413793, 725
6.79333333333, 5.33333333333, 8.53333333333, 750
6.45806451613, 5.16129032258, 8.90322580645, 775
6.68125, 5.25, 7.75, 800
