average delivered (percent), min delivered (percent), max delivered (percent), Message count
23.2, 4.0, 36.0, 25
31.6, 22.0, 46.0, 50
29.0666666667, 18.6666666667, 38.6666666667, 75
29.35, 16.0, 38.0, 100
27.96, 21.6, 32.8, 125
27.8333333333, 22.6666666667, 34.0, 150
28.6285714286, 22.8571428571, 36.5714285714, 175
28.075, 22.5, 34.0, 200
28.2444444444, 20.8888888889, 32.0, 225
28.52, 20.8, 34.8, 250
29.1090909091, 22.1818181818, 34.9090909091, 275
28.4666666667, 21.0, 32.0, 300
27.8153846154, 25.2307692308, 33.5384615385, 325
27.6428571429, 22.8571428571, 34.0, 350
29.32, 24.0, 36.8, 375
29.25, 25.5, 32.75, 400
29.1176470588, 23.2941176471, 34.5882352941, 425
28.2888888889, 23.1111111111, 33.7777777778, 450
29.0736842105, 24.6315789474, 33.0526315789, 475
28.4, 23.8, 33.8, 500
28.8857142857, 24.1904761905, 33.9047619048, 525
29.4727272727, 26.3636363636, 33.2727272727, 550
28.2086956522, 24.5217391304, 33.2173913043, 575
28.3666666667, 25.5, 33.1666666667, 600
28.272, 24.16, 32.96, 625
27.8461538462, 24.3076923077, 31.2307692308, 650
28.6888888889, 26.3703703704, 31.7037037037, 675
28.05, 23.8571428571, 35.0, 700
28.5655172414, 22.7586206897, 33.5172413793, 725
28.4666666667, 23.8666666667, 32.6666666667, 750
28.2064516129, 25.1612903226, 31.3548387097, 775
28.54375, 24.25, 33.25, 800
