average delivered (percent), min delivered (percent), max delivered (percent), Message count
96.6, 88.0, 100.0, 25
95.4, 90.0, 100.0, 50
95.6, 92.0, 100.0, 75
94.2, 89.0, 99.0, 100
91.56, 84.0, 95.2, 125
87.8666666667, 80.6666666667, 92.6666666667, 150
85.4, 77.7142857143, 90.2857142857, 175
81.75, 77.5, 87.5, 200
78.8222222222, 73.7777777778, 84.8888888889, 225
76.4, 68.8, 82.8, 250
75.0181818182, 69.4545454545, 80.0, 275
72.9666666667, 68.0, 77.3333333333, 300
71.4153846154, 69.2307692308, 75.0769230769, 325
69.2428571429, 65.7142857143, 74.8571428571, 350
66.0133333333, 61.0666666667, 71.4666666667, 375
66.6125, 62.0, 71.75, 400
64.9176470588, 59.0588235294, 69.6470588235, 425
63.5333333333, 59.3333333333, 67.5555555556, 450
61.3263157895, 56.6315789474, 64.6315789474, 475
60.98, 57.6, 66.6, 500
60.4761904762, 55.0476190476, 64.7619047619, 525
58.5, 56.0, 62.7272727273, 550
57.147826087, 54.0869565217, 60.8695652174, 575
57.3166666667, 53.3333333333, 61.6666666667, 600
56.56, 51.2, 60.64, 625
55.8307692308, 53.0769230769, 59.8461538462, 650
54.4962962963, 51.5555555556, 57.9259259259, 675
54.5142857143, 50.2857142857, 58.4285714286, 700
53.1103448276, 49.6551724138, 56.1379310345, 725
52.6533333333, 49.7333333333, 56.1333333333, 750
52.2838709677, 47.8709677419, 56.1290322581, 775
52.075, 49.25, 55.375, 800
