average delivered (percent), min delivered (percent), max delivered (percent), Message count
95.2, 84.0, 100.0, 25
95.2, 88.0, 98.0, 50
94.6, 90.6666666667, 98.6666666667, 75
95.2, 92.0, 99.0, 100
95.2, 90.4, 98.4, 125
95.5, 90.6666666667, 99.3333333333, 150
95.2285714286, 91.4285714286, 97.7142857143, 175
95.475, 92.0, 98.5, 200
94.7777777778, 92.0, 97.7777777778, 225
94.6, 92.4, 97.2, 250
94.1636363636, 91.2727272727, 96.7272727273, 275
92.9333333333, 90.3333333333, 95.0, 300
92.5076923077, 90.1538461538, 94.7692307692, 325
92.3, 90.0, 94.0, 350
91.12, 89.0666666667, 93.3333333333, 375
90.4375, 88.75, 92.75, 400
89.8588235294, 87.7647058824, 92.4705882353, 425
89.1555555556, 86.8888888889, 90.8888888889, 450
87.9052631579, 85.8947368421, 89.8947368421, 475
86.56, 84.6, 88.2, 500
85.980952381, 82.0952380952, 90.2857142857, 525
84.2181818182, 81.8181818182, 88.5454545455, 550
83.7565217391, 81.9130434783, 86.2608695652, 575
82.0916666667, 78.6666666667, 85.3333333333, 600
81.504, 79.68, 83.36, 625
80.1076923077, 78.4615384615, 83.3846153846, 650
79.1037037037, 74.962962963, 81.4814814815, 675
78.2928571429, 75.8571428571, 81.1428571429, 700
77.6965517241, 74.2068965517, 80.8275862069, 725
75.84, 72.2666666667, 78.1333333333, 750
74.9677419355, 73.0322580645, 76.5161290323, 775
73.775, 70.5, 77.25, 800
