average delivered (percent), min delivered (percent), max delivered (percent), Message count
81.2, 64.0, 96.0, 25
83.3, 74.0, 90.0, 50
82.7333333333, 76.0, 90.6666666667, 75
80.2, 76.0, 87.0, 100
83.56, 76.8, 92.0, 125
82.5, 75.3333333333, 87.3333333333, 150
82.0285714286, 76.0, 87.4285714286, 175
81.65, 77.0, 86.5, 200
82.6222222222, 79.5555555556, 86.6666666667, 225
81.72, 75.6, 86.0, 250
81.8363636364, 78.5454545455, 85.8181818182, 275
80.1166666667, 76.3333333333, 83.0, 300
80.1076923077, 76.3076923077, 84.6153846154, 325
78.1571428571, 74.5714285714, 81.4285714286, 350
78.6133333333, 74.4, 83.2, 375
78.125, 75.75, 83.5, 400
78.0941176471, 74.3529411765, 81.6470588235, 425
76.9777777778, 73.5555555556, 80.6666666667, 450
76.0947368421, 73.2631578947, 79.3684210526, 475
75.0, 73.0, 78.0, 500
74.219047619, 71.8095238095, 76.0, 525
73.4545454545, 70.5454545455, 76.0, 550
72.8434782609, 69.9130434783, 78.0869565217, 575
71.5833333333, 68.8333333333, 74.5, 600
70.84, 67.84, 73.92, 625
69.8923076923, 66.1538461538, 73.2307692308, 650
68.8962962963, 66.5185185185, 71.2592592593, 675
67.8071428571, 63.5714285714, 71.8571428571, 700
66.0965517241, 61.2413793103, 68.6896551724, 725
65.9533333333, 62.4, 68.5333333333, 750
65.1548387097, 61.6774193548, 67.0967741935, 775
64.225, 61.5, 68.375, 800
