average delivered (percent), min delivered (percent), max delivered (percent), Message count
9.2, 0.0, 24.0, 25
9.6, 0.0, 20.0, 50
9.8, 4.0, 18.6666666667, 75
10.15, 5.0, 15.0, 100
9.92, 4.8, 19.2, 125
8.96666666667, 6.0, 12.0, 150
9.0, 4.57142857143, 13.1428571429, 175
9.4, 6.5, 12.5, 200
9.64444444444, 5.77777777778, 14.6666666667, 225
8.98, 6.8, 12.0, 250
9.16363636364, 6.54545454545, 12.7272727273, 275
9.08333333333, 6.0, 12.3333333333, 300
9.55384615385, 5.53846153846, 12.6153846154, 325
8.94285714286, 6.28571428571, 13.4285714286, 350
9.09333333333, 7.46666666667, 12.2666666667, 375
9.0875, 6.0, 11.75, 400
9.50588235294, 8.0, 11.0588235294, 425
8.88888888889, 6.66666666667, 10.8888888889, 450
9.10526315789, 6.52631578947, 11.1578947368, 475
9.11, 7.2, 11.4, 500
9.64761904762, 6.47619047619, 11.8095238095, 525
9.40909090909, 7.45454545455, 12.0, 550
9.26956521739, 6.95652173913, 11.652173913, 575
9.55833333333, 8.5, 12.3333333333, 600
9.456, 6.88, 12.32, 625
9.44615384615, 8.15384615385, 11.3846153846, 650
9.35555555556, 6.37037037037, 12.0, 675
9.35, 7.85714285714, 12.5714285714, 700
9.37931034483, 7.03448275862, 12.275862069, 725
9.28666666667, 7.73333333333, 11.0666666667, 750
9.27741935484, 6.96774193548, 10.5806451613, 775
9.325, 7.875, 11.25, 800
