average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
81.7583333333, 78.3333333333, 84.6666666667, 1
83.7166666667, 81.1666666667, 87.1666666667, 2
84.2166666667, 81.3333333333, 87.3333333333, 4
84.2833333333, 81.6666666667, 86.6666666667, 6
83.875, 81.0, 85.5, 8
84.1333333333, 82.6666666667, 86.1666666667, 10
84.0583333333, 82.1666666667, 85.8333333333, 12
84.325, 82.1666666667, 87.5, 14
84.1583333333, 82.0, 86.6666666667, 16
83.0666666667, 81.3333333333, 86.5, 32
83.25, 80.6666666667, 84.8333333333, 64
81.4833333333, 79.0, 84.1666666667, 128
