average delivered (percent), min delivered (percent), max delivered (percent), diffusion distance t
65.6833333333, 60.6666666667, 68.6666666667, 1
71.0583333333, 68.8333333333, 73.8333333333, 2
71.7833333333, 66.8333333333, 75.0, 4
71.775, 68.6666666667, 75.8333333333, 6
71.3583333333, 67.6666666667, 73.8333333333, 8
71.8583333333, 69.5, 74.6666666667, 10
71.7416666667, 68.0, 75.0, 12
71.7333333333, 67.5, 74.0, 14
71.6166666667, 69.0, 78.5, 16
70.9666666667, 68.1666666667, 73.1666666667, 32
70.4416666667, 67.8333333333, 74.0, 64
68.5083333333, 64.3333333333, 71.3333333333, 128
