average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
26.3333333333, 24.1666666667, 29.5833333333, 0.0
32.7875, 30.5, 36.0833333333, 0.05
38.1166666667, 33.4166666667, 41.5833333333, 0.1
43.1, 40.25, 46.3333333333, 0.15
47.4833333333, 44.75, 50.1666666667, 0.2
50.1166666667, 46.9166666667, 52.1666666667, 0.25
50.1375, 47.4166666667, 52.6666666667, 0.3
50.9125, 46.25, 53.6666666667, 0.35
51.6416666667, 49.75, 53.4166666667, 0.4
50.8, 48.8333333333, 53.0833333333, 0.45
50.2125, 48.4166666667, 51.9166666667, 0.5
48.6583333333, 47.5, 49.9166666667, 0.55
47.4583333333, 44.5833333333, 49.4166666667, 0.6
46.8625, 44.75, 49.8333333333, 0.65
45.3333333333, 42.6666666667, 48.3333333333, 0.7
44.1125, 41.9166666667, 45.8333333333, 0.75
43.2291666667, 40.8333333333, 45.25, 0.8
42.1166666667, 39.6666666667, 44.1666666667, 0.85
40.275, 37.1666666667, 43.0833333333, 0.9
39.7791666667, 37.6666666667, 42.4166666667, 0.95
37.8291666667, 35.4166666667, 40.25, 1.0
