average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
79.8125, 77.25, 83.0, 0.0
91.225, 88.5, 93.25, 0.05
91.5375, 89.0, 93.75, 0.1
91.6, 89.0, 94.5, 0.15
91.225, 89.25, 93.5, 0.2
90.75, 88.5, 92.75, 0.25
91.1125, 89.0, 94.25, 0.3
91.175, 89.25, 92.75, 0.35
90.3125, 88.0, 92.75, 0.4
89.8375, 87.75, 92.25, 0.45
89.05, 85.5, 92.0, 0.5
88.0125, 85.0, 91.0, 0.55
87.3125, 86.0, 90.25, 0.6
86.15, 83.0, 89.5, 0.65
84.425, 79.5, 89.0, 0.7
82.575, 79.5, 86.5, 0.75
79.075, 74.0, 82.25, 0.8
75.6, 71.75, 79.0, 0.85
70.875, 66.75, 75.0, 0.9
68.4625, 65.25, 73.5, 0.95
65.55, 60.5, 68.5, 1.0
