average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
52.39375, 49.625, 55.375, 0.0
73.8875, 71.625, 78.25, 0.05
76.4875, 73.75, 78.625, 0.1
76.63125, 74.25, 78.625, 0.15
76.58125, 73.75, 78.75, 0.2
76.9125, 73.0, 80.25, 0.25
75.39375, 73.125, 78.0, 0.3
75.625, 73.5, 77.5, 0.35
74.5375, 72.0, 77.25, 0.4
73.425, 69.375, 76.5, 0.45
71.68125, 69.75, 74.75, 0.5
70.73125, 68.0, 72.625, 0.55
68.48125, 65.625, 71.875, 0.6
66.94375, 63.875, 69.0, 0.65
64.49375, 61.25, 68.375, 0.7
62.41875, 59.0, 64.75, 0.75
59.825, 55.25, 63.625, 0.8
57.0625, 53.625, 59.625, 0.85
54.4125, 51.5, 57.625, 0.9
51.40625, 48.875, 52.75, 0.95
51.625, 49.0, 54.125, 1.0
