average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
63.9166666667, 61.3333333333, 67.0, 0.0
82.3416666667, 79.0, 84.5, 0.05
83.325, 80.6666666667, 85.5, 0.1
83.8583333333, 82.0, 85.1666666667, 0.15
83.7583333333, 81.5, 86.6666666667, 0.2
83.1166666667, 80.6666666667, 85.1666666667, 0.25
83.85, 80.3333333333, 86.5, 0.3
82.125, 79.3333333333, 84.5, 0.35
81.1416666667, 78.3333333333, 84.0, 0.4
80.7083333333, 78.5, 82.5, 0.45
79.4333333333, 77.0, 82.5, 0.5
77.9416666667, 73.6666666667, 81.5, 0.55
77.2666666667, 74.5, 80.5, 0.6
75.1666666667, 72.5, 77.6666666667, 0.65
73.0916666667, 70.8333333333, 75.0, 0.7
71.7583333333, 67.3333333333, 74.3333333333, 0.75
68.0, 64.1666666667, 72.8333333333, 0.8
66.65, 64.0, 70.0, 0.85
63.9916666667, 60.6666666667, 66.5, 0.9
62.05, 58.3333333333, 67.6666666667, 0.95
60.7166666667, 57.1666666667, 63.5, 1.0
