average delivered (percent), min delivered (percent), max delivered (percent), Message Count
20.4, 4.0, 28.0, 25
18.5, 10.0, 30.0, 50
18.6, 10.6666666667, 26.6666666667, 75
19.1, 13.0, 27.0, 100
19.04, 13.6, 26.4, 125
18.7, 14.6666666667, 25.3333333333, 150
19.6285714286, 17.1428571429, 25.7142857143, 175
19.325, 13.5, 24.0, 200
18.2444444444, 14.2222222222, 24.4444444444, 225
20.08, 16.4, 24.4, 250
19.0363636364, 13.0909090909, 23.6363636364, 275
18.0333333333, 15.3333333333, 21.0, 300
18.8307692308, 14.4615384615, 24.3076923077, 325
19.4857142857, 15.7142857143, 25.4285714286, 350
19.0933333333, 16.0, 22.4, 375
18.925, 16.25, 22.25, 400
18.2352941176, 13.6470588235, 21.1764705882, 425
18.8888888889, 17.1111111111, 22.4444444444, 450
18.8736842105, 15.3684210526, 22.9473684211, 475
19.84, 16.4, 23.8, 500
19.0, 16.0, 21.9047619048, 525
18.7181818182, 14.7272727273, 22.3636363636, 550
18.9217391304, 15.8260869565, 22.9565217391, 575
18.6083333333, 14.6666666667, 25.6666666667, 600
18.896, 16.48, 20.8, 625
18.9923076923, 15.3846153846, 21.6923076923, 650
19.0074074074, 16.2962962963, 20.8888888889, 675
18.8071428571, 15.5714285714, 22.4285714286, 700
19.124137931, 17.1034482759, 22.0689655172, 725
18.3666666667, 15.4666666667, 21.7333333333, 750
19.3225806452, 16.1290322581, 21.6774193548, 775
18.34375, 16.375, 20.5, 800
