average delivered (percent), min delivered (percent), max delivered (percent), Message Count
95.6, 88.0, 100.0, 25
96.1, 88.0, 100.0, 50
95.8666666667, 92.0, 100.0, 75
95.35, 91.0, 99.0, 100
93.84, 90.4, 97.6, 125
94.4, 90.6666666667, 97.3333333333, 150
93.0571428571, 90.8571428571, 97.1428571429, 175
92.6, 88.5, 95.0, 200
91.6666666667, 88.8888888889, 94.2222222222, 225
91.04, 88.0, 93.2, 250
89.3454545455, 85.0909090909, 92.7272727273, 275
88.7333333333, 86.0, 91.3333333333, 300
87.1384615385, 80.0, 90.4615384615, 325
85.7571428571, 82.0, 90.2857142857, 350
84.6666666667, 79.2, 88.8, 375
83.2875, 79.5, 86.0, 400
82.4588235294, 76.7058823529, 88.7058823529, 425
80.8888888889, 77.1111111111, 84.8888888889, 450
79.9894736842, 75.7894736842, 82.9473684211, 475
79.8, 74.4, 84.2, 500
78.8666666667, 76.380952381, 82.6666666667, 525
76.5545454545, 72.9090909091, 80.1818181818, 550
76.4173913043, 72.0, 81.7391304348, 575
74.4916666667, 70.5, 78.6666666667, 600
73.432, 68.0, 76.8, 625
72.8615384615, 68.3076923077, 76.1538461538, 650
72.4592592593, 69.3333333333, 77.1851851852, 675
71.6, 68.0, 75.4285714286, 700
70.1517241379, 65.3793103448, 73.5172413793, 725
68.9133333333, 64.1333333333, 72.1333333333, 750
69.4193548387, 65.4193548387, 74.4516129032, 775
68.025, 63.0, 72.875, 800
