average delivered (percent), min delivered (percent), max delivered (percent), Message Count
96.2, 84.0, 100.0, 25
96.1, 88.0, 100.0, 50
96.0, 90.6666666667, 100.0, 75
95.0, 92.0, 98.0, 100
94.68, 88.0, 97.6, 125
95.3, 92.0, 98.6666666667, 150
95.4571428571, 92.5714285714, 98.8571428571, 175
95.35, 93.0, 97.0, 200
94.5111111111, 92.8888888889, 96.8888888889, 225
94.18, 91.2, 96.8, 250
94.0545454545, 92.3636363636, 96.7272727273, 275
93.9, 92.3333333333, 96.3333333333, 300
93.5538461538, 91.6923076923, 96.6153846154, 325
93.4428571429, 91.4285714286, 95.7142857143, 350
92.32, 90.6666666667, 95.2, 375
92.1375, 88.0, 95.0, 400
91.3176470588, 88.7058823529, 93.1764705882, 425
90.4111111111, 87.5555555556, 92.4444444444, 450
90.2210526316, 88.0, 91.3684210526, 475
89.25, 85.8, 91.4, 500
88.619047619, 86.2857142857, 91.8095238095, 525
87.6636363636, 86.1818181818, 90.0, 550
87.2, 84.1739130435, 89.0434782609, 575
86.2833333333, 84.0, 88.8333333333, 600
85.632, 83.2, 87.84, 625
84.2538461538, 81.6923076923, 86.3076923077, 650
83.7555555556, 81.7777777778, 86.2222222222, 675
82.4571428571, 79.8571428571, 85.8571428571, 700
81.7793103448, 77.6551724138, 83.5862068966, 725
81.2666666667, 78.5333333333, 83.6, 750
79.9419354839, 77.2903225806, 82.5806451613, 775
79.3, 76.5, 81.75, 800
