average delivered (percent), min delivered (percent), max delivered (percent), Message Count
45.0, 24.0, 72.0, 25
43.6, 30.0, 54.0, 50
43.7333333333, 32.0, 56.0, 75
42.05, 36.0, 49.0, 100
42.56, 36.0, 51.2, 125
41.8666666667, 36.0, 49.3333333333, 150
43.0, 35.4285714286, 50.2857142857, 175
43.65, 33.5, 53.0, 200
42.6222222222, 34.2222222222, 49.3333333333, 225
42.3, 39.2, 46.8, 250
42.6545454545, 35.6363636364, 48.3636363636, 275
43.7333333333, 39.3333333333, 48.3333333333, 300
43.0615384615, 37.2307692308, 50.4615384615, 325
44.4571428571, 39.7142857143, 48.5714285714, 350
43.5066666667, 38.6666666667, 47.2, 375
44.6, 39.5, 51.25, 400
42.2, 37.4117647059, 48.0, 425
43.1666666667, 39.3333333333, 46.8888888889, 450
43.3473684211, 39.5789473684, 47.1578947368, 475
43.27, 40.0, 46.2, 500
42.7904761905, 38.8571428571, 47.8095238095, 525
42.9636363636, 38.9090909091, 48.7272727273, 550
43.0608695652, 39.3043478261, 47.3043478261, 575
42.6833333333, 37.8333333333, 46.8333333333, 600
43.456, 40.16, 47.36, 625
43.1615384615, 39.5384615385, 47.0769230769, 650
42.9333333333, 38.6666666667, 46.8148148148, 675
43.4428571429, 40.7142857143, 46.7142857143, 700
42.8413793103, 40.0, 45.6551724138, 725
42.7666666667, 39.7333333333, 47.0666666667, 750
43.7483870968, 41.0322580645, 48.3870967742, 775
42.66875, 40.25, 46.125, 800
