average delivered (percent), min delivered (percent), max delivered (percent), Message Count
13.6, 4.0, 28.0, 25
11.5, 4.0, 20.0, 50
11.6, 6.66666666667, 20.0, 75
10.9, 5.0, 15.0, 100
10.84, 7.2, 15.2, 125
10.5333333333, 6.0, 14.6666666667, 150
11.5714285714, 6.85714285714, 17.1428571429, 175
11.45, 7.0, 15.5, 200
10.7777777778, 8.44444444444, 16.8888888889, 225
10.7, 7.6, 15.2, 250
11.7272727273, 8.36363636364, 14.9090909091, 275
10.8833333333, 6.33333333333, 15.0, 300
11.3384615385, 8.61538461538, 14.1538461538, 325
10.8714285714, 8.0, 14.0, 350
11.08, 9.33333333333, 13.0666666667, 375
10.6625, 8.25, 13.25, 400
11.1882352941, 8.70588235294, 13.8823529412, 425
11.2777777778, 8.22222222222, 13.7777777778, 450
11.4421052632, 9.47368421053, 15.3684210526, 475
11.09, 9.0, 14.2, 500
11.5714285714, 7.80952380952, 14.4761904762, 525
11.0818181818, 9.27272727273, 13.0909090909, 550
11.2086956522, 9.39130434783, 14.9565217391, 575
11.275, 9.0, 13.8333333333, 600
10.968, 7.68, 13.12, 625
11.0230769231, 9.07692307692, 13.2307692308, 650
11.2666666667, 9.18518518519, 13.4814814815, 675
10.9357142857, 8.85714285714, 12.4285714286, 700
11.7862068966, 9.65517241379, 13.5172413793, 725
11.3133333333, 8.26666666667, 14.5333333333, 750
11.1290322581, 9.03225806452, 14.8387096774, 775
11.025, 8.75, 13.125, 800
