average delivered (percent), min delivered (percent), max delivered (percent), Message count
9.0, 4.0, 24.0, 25
9.0, 4.0, 14.0, 50
10.9333333333, 5.33333333333, 20.0, 75
10.35, 4.0, 15.0, 100
9.96, 4.8, 17.6, 125
9.0, 6.0, 13.3333333333, 150
10.5142857143, 6.85714285714, 14.2857142857, 175
9.6, 5.0, 12.0, 200
9.62222222222, 4.88888888889, 12.8888888889, 225
10.68, 7.6, 14.4, 250
9.52727272727, 6.90909090909, 12.0, 275
10.0333333333, 6.66666666667, 13.6666666667, 300
9.63076923077, 7.07692307692, 13.5384615385, 325
9.65714285714, 7.71428571429, 12.2857142857, 350
9.70666666667, 6.13333333333, 12.5333333333, 375
9.6, 6.25, 12.75, 400
9.36470588235, 6.35294117647, 13.6470588235, 425
9.71111111111, 7.55555555556, 12.2222222222, 450
9.94736842105, 7.36842105263, 13.0526315789, 475
10.45, 6.8, 13.0, 500
9.9619047619, 8.0, 12.9523809524, 525
9.55454545455, 7.09090909091, 11.6363636364, 550
9.85217391304, 8.0, 13.0434782609, 575
10.0, 7.5, 12.1666666667, 600
9.568, 8.16, 11.68, 625
10.2307692308, 7.69230769231, 12.3076923077, 650
9.48148148148, 7.55555555556, 11.5555555556, 675
9.5, 6.42857142857, 11.8571428571, 700
9.15172413793, 7.03448275862, 11.0344827586, 725
9.79333333333, 8.4, 12.2666666667, 750
10.0, 8.12903225806, 11.4838709677, 775
9.86875, 8.875, 11.25, 800
