average delivered (percent), min delivered (percent), max delivered (percent), Message count
89.2, 76.0, 96.0, 25
87.8, 76.0, 94.0, 50
87.4, 80.0, 92.0, 75
89.05, 82.0, 93.0, 100
86.36, 80.0, 92.0, 125
85.2333333333, 80.6666666667, 92.0, 150
81.3142857143, 76.5714285714, 86.2857142857, 175
78.55, 71.5, 82.5, 200
76.2, 72.8888888889, 80.0, 225
73.06, 68.0, 77.6, 250
71.9818181818, 66.9090909091, 76.3636363636, 275
68.5666666667, 66.0, 72.0, 300
66.2923076923, 62.1538461538, 69.5384615385, 325
65.0, 61.4285714286, 69.7142857143, 350
63.28, 58.6666666667, 68.0, 375
61.6625, 58.5, 65.25, 400
60.3411764706, 56.2352941176, 63.5294117647, 425
58.3111111111, 54.8888888889, 62.4444444444, 450
57.4210526316, 54.3157894737, 59.5789473684, 475
56.01, 53.0, 59.6, 500
54.6571428571, 50.4761904762, 57.3333333333, 525
53.4818181818, 49.4545454545, 55.8181818182, 550
52.8, 49.7391304348, 57.7391304348, 575
51.65, 49.0, 54.1666666667, 600
50.2, 47.36, 53.44, 625
49.7692307692, 46.7692307692, 53.3846153846, 650
49.2666666667, 46.5185185185, 52.2962962963, 675
48.1214285714, 45.7142857143, 49.5714285714, 700
47.1793103448, 45.6551724138, 48.9655172414, 725
46.9466666667, 45.8666666667, 48.8, 750
46.0967741935, 44.5161290323, 48.9032258065, 775
45.60625, 42.5, 48.625, 800
