average delivered (percent), min delivered (percent), max delivered (percent), Message count
88.0, 76.0, 100.0, 25
88.5, 76.0, 98.0, 50
88.4666666667, 77.3333333333, 94.6666666667, 75
88.9, 82.0, 94.0, 100
87.96, 78.4, 92.8, 125
88.2, 82.0, 94.0, 150
88.8, 85.1428571429, 93.1428571429, 175
87.425, 84.5, 91.5, 200
88.0222222222, 85.3333333333, 90.6666666667, 225
87.38, 84.4, 90.4, 250
85.9090909091, 83.6363636364, 90.1818181818, 275
85.6, 82.3333333333, 89.3333333333, 300
84.5384615385, 81.2307692308, 89.2307692308, 325
84.3428571429, 81.4285714286, 86.5714285714, 350
82.7466666667, 79.7333333333, 86.1333333333, 375
82.0875, 77.0, 84.25, 400
80.6941176471, 76.9411764706, 82.8235294118, 425
78.7777777778, 74.8888888889, 81.5555555556, 450
77.5578947368, 75.7894736842, 81.2631578947, 475
76.69, 71.0, 79.8, 500
75.0, 72.7619047619, 78.2857142857, 525
73.7454545455, 71.8181818182, 76.0, 550
72.452173913, 69.3913043478, 75.3043478261, 575
71.6916666667, 67.3333333333, 73.6666666667, 600
69.88, 66.56, 73.6, 625
68.9692307692, 65.8461538462, 71.5384615385, 650
67.9777777778, 64.4444444444, 69.9259259259, 675
66.0571428571, 64.0, 68.5714285714, 700
65.3517241379, 62.7586206897, 68.6896551724, 725
64.5, 60.8, 67.4666666667, 750
63.5612903226, 61.8064516129, 65.8064516129, 775
62.45, 59.25, 65.875, 800
