average delivered (percent), min delivered (percent), max delivered (percent), Message count
62.0, 52.0, 76.0, 25
62.1, 48.0, 74.0, 50
67.0, 57.3333333333, 77.3333333333, 75
67.4, 60.0, 74.0, 100
67.0, 56.8, 73.6, 125
67.5333333333, 59.3333333333, 75.3333333333, 150
65.6, 56.0, 71.4285714286, 175
67.175, 60.5, 73.0, 200
66.9333333333, 59.1111111111, 71.1111111111, 225
65.86, 60.4, 70.4, 250
65.5454545455, 59.2727272727, 70.1818181818, 275
64.7833333333, 59.3333333333, 70.0, 300
64.1076923077, 58.7692307692, 67.6923076923, 325
65.2857142857, 60.5714285714, 67.7142857143, 350
63.68, 61.0666666667, 68.2666666667, 375
63.55, 60.5, 67.0, 400
62.6588235294, 58.5882352941, 67.0588235294, 425
62.6555555556, 59.7777777778, 65.3333333333, 450
61.0631578947, 58.3157894737, 64.2105263158, 475
60.48, 57.0, 62.6, 500
60.0952380952, 57.1428571429, 62.8571428571, 525
58.6909090909, 55.2727272727, 63.0909090909, 550
58.5913043478, 55.652173913, 61.7391304348, 575
57.625, 54.5, 60.8333333333, 600
56.24, 54.4, 59.04, 625
55.9384615385, 54.1538461538, 58.3076923077, 650
54.8814814815, 51.8518518519, 57.4814814815, 675
53.8428571429, 50.7142857143, 56.0, 700
53.6275862069, 51.5862068966, 55.3103448276, 725
52.1066666667, 50.0, 54.8, 750
51.3225806452, 48.9032258065, 53.4193548387, 775
51.03125, 49.125, 53.5, 800
