average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
45.2375, 42.75, 47.375, 0.0
59.34375, 57.625, 62.125, 0.05
61.33125, 58.0, 63.25, 0.1
62.125, 59.875, 64.625, 0.15
62.225, 60.125, 64.0, 0.2
62.2375, 59.625, 64.125, 0.25
61.5, 60.125, 63.625, 0.3
61.3375, 58.5, 64.75, 0.35
60.7, 57.875, 62.375, 0.4
60.24375, 58.0, 61.875, 0.45
59.5, 57.25, 61.25, 0.5
58.14375, 55.0, 59.875, 0.55
56.79375, 54.5, 58.75, 0.6
55.39375, 52.125, 59.375, 0.65
54.45625, 51.375, 57.25, 0.7
52.19375, 48.875, 54.25, 0.75
50.56875, 48.375, 53.0, 0.8
48.95625, 45.75, 51.5, 0.85
47.23125, 45.0, 50.25, 0.9
46.3375, 43.5, 49.0, 0.95
45.8125, 42.875, 47.625, 1.0
