average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
10.225, 5.5, 15.5, 0.0
11.9, 8.5, 18.5, 0.05
15.375, 10.5, 21.0, 0.1
20.1, 15.5, 24.5, 0.15
25.675, 20.5, 30.5, 0.2
33.7, 29.5, 39.0, 0.25
40.875, 34.5, 50.5, 0.3
48.15, 43.0, 53.5, 0.35
55.2, 50.0, 61.5, 0.4
61.9, 54.0, 66.5, 0.45
66.575, 62.0, 73.5, 0.5
69.375, 65.0, 74.0, 0.55
73.35, 66.0, 78.5, 0.6
75.625, 70.5, 84.0, 0.65
79.225, 75.5, 86.5, 0.7
80.425, 75.0, 84.0, 0.75
82.75, 75.5, 87.5, 0.8
83.475, 77.0, 87.0, 0.85
84.85, 80.0, 90.5, 0.9
86.35, 81.0, 92.0, 0.95
87.025, 81.0, 91.5, 1.0
