average delivered (percent), min delivered (percent), max delivered (percent), Message count
6.0, 0.0, 12.0, 25
4.2, 0.0, 8.0, 50
6.33333333333, 1.33333333333, 12.0, 75
5.4, 0.0, 13.0, 100
6.12, 1.6, 11.2, 125
5.6, 2.66666666667, 8.66666666667, 150
6.0, 2.85714285714, 9.71428571429, 175
5.65, 2.0, 8.5, 200
6.06666666667, 3.55555555556, 8.44444444444, 225
5.4, 4.0, 7.6, 250
5.32727272727, 3.63636363636, 7.27272727273, 275
5.91666666667, 2.33333333333, 9.0, 300
6.15384615385, 3.69230769231, 7.38461538462, 325
6.3, 4.28571428571, 8.57142857143, 350
5.84, 3.46666666667, 7.73333333333, 375
6.025, 2.5, 7.5, 400
6.31764705882, 4.0, 8.0, 425
6.12222222222, 4.0, 8.66666666667, 450
5.49473684211, 3.78947368421, 7.78947368421, 475
5.76, 4.0, 7.2, 500
6.15238095238, 3.80952380952, 8.19047619048, 525
5.63636363636, 3.45454545455, 8.72727272727, 550
5.93913043478, 3.82608695652, 8.17391304348, 575
6.075, 3.83333333333, 9.5, 600
5.856, 3.52, 7.2, 625
5.94615384615, 4.30769230769, 8.46153846154, 650
5.65925925926, 4.59259259259, 7.25925925926, 675
6.02142857143, 4.28571428571, 7.85714285714, 700
5.61379310345, 3.86206896552, 6.89655172414, 725
5.74666666667, 4.0, 7.06666666667, 750
6.16129032258, 4.38709677419, 8.12903225806, 775
5.7, 3.875, 7.0, 800
