average delivered (percent), min delivered (percent), max delivered (percent), Message count
9.0, 0.0, 28.0, 25
4.9, 0.0, 10.0, 50
5.93333333333, 1.33333333333, 17.3333333333, 75
5.75, 2.0, 10.0, 100
6.28, 2.4, 9.6, 125
5.7, 2.0, 11.3333333333, 150
5.54285714286, 1.14285714286, 10.2857142857, 175
5.65, 3.0, 9.5, 200
6.31111111111, 4.0, 8.44444444444, 225
6.06, 2.4, 8.0, 250
6.76363636364, 2.54545454545, 10.9090909091, 275
5.9, 3.33333333333, 8.66666666667, 300
6.23076923077, 4.0, 9.23076923077, 325
6.04285714286, 3.14285714286, 8.0, 350
5.96, 3.73333333333, 7.73333333333, 375
6.3375, 4.0, 7.75, 400
6.02352941176, 3.52941176471, 8.23529411765, 425
5.87777777778, 3.77777777778, 7.33333333333, 450
5.71578947368, 3.78947368421, 8.0, 475
5.38, 3.6, 6.8, 500
5.86666666667, 3.80952380952, 7.80952380952, 525
5.51818181818, 4.18181818182, 7.81818181818, 550
5.65217391304, 4.0, 8.17391304348, 575
6.45, 5.33333333333, 8.33333333333, 600
5.616, 3.2, 8.0, 625
6.05384615385, 3.84615384615, 7.69230769231, 650
5.76296296296, 3.85185185185, 7.25925925926, 675
6.14285714286, 4.0, 7.57142857143, 700
5.9724137931, 4.13793103448, 7.31034482759, 725
5.68666666667, 4.66666666667, 6.66666666667, 750
5.62580645161, 4.64516129032, 6.70967741935, 775
5.9125, 4.375, 7.625, 800
