average delivered (percent), min delivered (percent), max delivered (percent), Message count
7.6, 0.0, 16.0, 25
7.0, 2.0, 14.0, 50
5.33333333333, 1.33333333333, 9.33333333333, 75
5.9, 3.0, 9.0, 100
5.56, 2.4, 11.2, 125
6.1, 3.33333333333, 10.0, 150
4.85714285714, 2.85714285714, 9.71428571429, 175
6.225, 3.5, 9.5, 200
5.97777777778, 3.55555555556, 9.33333333333, 225
5.78, 2.8, 9.6, 250
5.65454545455, 3.27272727273, 8.36363636364, 275
6.0, 3.66666666667, 9.0, 300
5.98461538462, 3.07692307692, 7.69230769231, 325
5.7, 4.0, 8.0, 350
5.44, 3.2, 8.0, 375
6.5, 4.5, 8.25, 400
6.18823529412, 3.52941176471, 8.0, 425
6.0, 3.33333333333, 8.22222222222, 450
5.86315789474, 4.63157894737, 8.0, 475
5.75, 3.6, 7.6, 500
5.6, 4.38095238095, 9.14285714286, 525
5.99090909091, 4.54545454545, 8.18181818182, 550
6.17391304348, 4.17391304348, 7.30434782609, 575
6.09166666667, 4.5, 7.83333333333, 600
5.64, 4.16, 7.04, 625
5.99230769231, 4.15384615385, 7.53846153846, 650
5.82222222222, 4.88888888889, 6.51851851852, 675
5.53571428571, 4.14285714286, 7.71428571429, 700
5.98620689655, 3.72413793103, 7.58620689655, 725
5.74666666667, 4.4, 7.2, 750
5.76774193548, 4.64516129032, 7.48387096774, 775
5.5625, 4.5, 6.5, 800
