average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
5.425, 3.25, 7.5, 0.0
6.1875, 3.75, 8.5, 0.05
5.6625, 4.25, 8.0, 0.1
5.85, 4.25, 7.25, 0.15
5.9875, 4.5, 8.0, 0.2
6.2875, 3.75, 9.0, 0.25
6.225, 4.5, 9.25, 0.3
5.9625, 4.5, 7.5, 0.35
6.2625, 4.25, 7.75, 0.4
5.7125, 3.5, 7.25, 0.45
5.9625, 4.25, 8.75, 0.5
5.8625, 3.5, 8.25, 0.55
6.075, 3.75, 9.25, 0.6
5.65, 3.75, 8.75, 0.65
5.9625, 3.5, 7.5, 0.7
6.05, 4.25, 8.5, 0.75
6.05, 4.75, 7.75, 0.8
6.5, 4.75, 8.0, 0.85
6.125, 4.25, 8.5, 0.9
5.9625, 3.25, 9.25, 0.95
5.9125, 4.25, 8.25, 1.0
