average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.96666666667, 2.66666666667, 5.0, 0.0
3.91666666667, 2.0, 6.66666666667, 0.05
3.65, 1.0, 6.66666666667, 0.1
4.36666666667, 3.0, 7.33333333333, 0.15
4.06666666667, 2.33333333333, 7.0, 0.2
4.4, 2.66666666667, 6.66666666667, 0.25
4.36666666667, 2.0, 7.0, 0.3
4.38333333333, 2.66666666667, 6.66666666667, 0.35
4.88333333333, 3.0, 6.66666666667, 0.4
4.75, 2.66666666667, 7.0, 0.45
4.6, 2.33333333333, 7.66666666667, 0.5
5.15, 2.33333333333, 7.33333333333, 0.55
4.91666666667, 3.33333333333, 7.0, 0.6
5.28333333333, 3.0, 7.0, 0.65
5.2, 3.33333333333, 7.33333333333, 0.7
5.6, 3.0, 7.66666666667, 0.75
5.48333333333, 3.66666666667, 9.0, 0.8
5.43333333333, 2.66666666667, 8.33333333333, 0.85
5.41666666667, 3.33333333333, 6.66666666667, 0.9
5.13333333333, 2.66666666667, 8.0, 0.95
5.91666666667, 3.33333333333, 9.0, 1.0
