average delivered (percent), min delivered (percent), max delivered (percent), Message count
29.0, 16.0, 48.0, 25
31.7, 16.0, 44.0, 50
27.8, 16.0, 38.6666666667, 75
28.45, 24.0, 43.0, 100
26.76, 20.0, 33.6, 125
27.3333333333, 21.3333333333, 34.0, 150
28.0, 23.4285714286, 34.8571428571, 175
27.25, 18.5, 34.5, 200
27.0666666667, 20.8888888889, 31.5555555556, 225
26.38, 22.8, 30.8, 250
26.4, 22.5454545455, 29.8181818182, 275
25.4666666667, 21.6666666667, 28.3333333333, 300
24.7692307692, 21.8461538462, 28.9230769231, 325
25.3428571429, 22.8571428571, 28.8571428571, 350
24.08, 19.4666666667, 27.4666666667, 375
23.7, 20.0, 28.25, 400
22.7764705882, 18.5882352941, 25.4117647059, 425
22.2555555556, 19.3333333333, 24.4444444444, 450
21.8, 18.9473684211, 23.7894736842, 475
21.72, 19.6, 23.6, 500
21.180952381, 19.2380952381, 23.8095238095, 525
20.9181818182, 18.1818181818, 24.0, 550
20.8, 18.4347826087, 23.3043478261, 575
19.2916666667, 16.5, 21.3333333333, 600
19.312, 17.76, 20.48, 625
19.9153846154, 17.3846153846, 21.6923076923, 650
18.7259259259, 16.5925925926, 20.2962962963, 675
18.5071428571, 16.7142857143, 21.1428571429, 700
18.8, 17.2413793103, 20.5517241379, 725
18.12, 15.4666666667, 19.8666666667, 750
17.7548387097, 15.8709677419, 19.3548387097, 775
17.68125, 16.375, 19.0, 800
