average delivered (percent), min delivered (percent), max delivered (percent), Message count
26.6, 16.0, 48.0, 25
30.2, 18.0, 54.0, 50
28.8666666667, 20.0, 38.6666666667, 75
28.85, 21.0, 36.0, 100
27.68, 20.8, 36.0, 125
29.1333333333, 22.6666666667, 36.0, 150
26.1428571429, 20.5714285714, 33.1428571429, 175
27.625, 20.5, 35.5, 200
26.2888888889, 21.7777777778, 29.7777777778, 225
26.38, 18.8, 32.0, 250
26.7090909091, 21.4545454545, 29.0909090909, 275
25.8, 22.3333333333, 30.0, 300
25.8769230769, 22.4615384615, 30.1538461538, 325
24.8285714286, 21.4285714286, 27.4285714286, 350
24.44, 20.2666666667, 27.2, 375
23.7375, 19.5, 26.5, 400
22.8941176471, 20.4705882353, 26.1176470588, 425
22.8222222222, 19.5555555556, 26.2222222222, 450
22.7263157895, 20.6315789474, 25.0526315789, 475
22.43, 19.6, 25.2, 500
22.1523809524, 19.2380952381, 24.9523809524, 525
21.4363636364, 19.4545454545, 23.6363636364, 550
21.052173913, 18.0869565217, 23.4782608696, 575
20.4583333333, 18.5, 22.6666666667, 600
20.368, 17.92, 23.36, 625
20.0153846154, 18.1538461538, 23.0769230769, 650
20.1333333333, 18.3703703704, 22.5185185185, 675
19.0428571429, 15.8571428571, 22.4285714286, 700
19.1034482759, 16.5517241379, 21.5172413793, 725
18.3666666667, 16.1333333333, 20.1333333333, 750
18.2322580645, 16.7741935484, 20.0, 775
18.1125, 16.125, 19.375, 800
