average delivered (percent), min delivered (percent), max delivered (percent), Message count
31.2, 16.0, 48.0, 25
28.4, 20.0, 38.0, 50
26.2, 20.0, 34.6666666667, 75
28.05, 19.0, 37.0, 100
27.48, 20.8, 36.0, 125
27.8666666667, 23.3333333333, 34.0, 150
26.5428571429, 19.4285714286, 32.5714285714, 175
27.05, 22.5, 31.5, 200
27.2666666667, 22.6666666667, 33.7777777778, 225
26.6, 23.2, 30.0, 250
25.8545454545, 21.0909090909, 30.5454545455, 275
25.8333333333, 20.3333333333, 31.6666666667, 300
25.4153846154, 20.6153846154, 29.5384615385, 325
24.9857142857, 21.4285714286, 29.7142857143, 350
24.1866666667, 22.1333333333, 27.2, 375
23.0, 20.0, 26.0, 400
23.3882352941, 21.1764705882, 28.0, 425
23.0, 20.2222222222, 24.6666666667, 450
22.7157894737, 21.0526315789, 25.4736842105, 475
22.09, 19.6, 26.0, 500
21.8571428571, 19.8095238095, 24.0, 525
21.6363636364, 18.3636363636, 25.8181818182, 550
21.3391304348, 18.4347826087, 24.6956521739, 575
20.325, 17.0, 24.3333333333, 600
20.584, 17.92, 22.56, 625
20.1076923077, 18.4615384615, 21.3846153846, 650
20.0518518519, 17.4814814815, 21.9259259259, 675
19.5, 17.8571428571, 23.1428571429, 700
18.9448275862, 16.6896551724, 20.275862069, 725
18.6133333333, 17.3333333333, 20.1333333333, 750
17.9806451613, 16.2580645161, 19.8709677419, 775
18.2, 16.5, 19.75, 800
