average delivered (percent), min delivered (percent), max delivered (percent), Message count
27.0, 12.0, 44.0, 25
27.1, 14.0, 42.0, 50
29.5333333333, 22.6666666667, 44.0, 75
28.4, 23.0, 35.0, 100
29.2, 21.6, 34.4, 125
28.6666666667, 23.3333333333, 32.0, 150
26.8857142857, 21.1428571429, 33.7142857143, 175
27.775, 23.0, 30.5, 200
27.2222222222, 22.6666666667, 32.4444444444, 225
25.76, 20.8, 29.2, 250
25.6, 21.0909090909, 29.0909090909, 275
25.45, 21.3333333333, 30.0, 300
24.4769230769, 22.1538461538, 27.6923076923, 325
25.1142857143, 21.7142857143, 29.7142857143, 350
23.4533333333, 20.5333333333, 26.4, 375
22.6375, 19.75, 25.25, 400
22.7411764706, 19.7647058824, 25.6470588235, 425
22.1222222222, 19.5555555556, 26.4444444444, 450
21.1684210526, 19.3684210526, 24.0, 475
20.93, 19.2, 25.6, 500
20.219047619, 18.0952380952, 22.8571428571, 525
19.8636363636, 17.4545454545, 21.8181818182, 550
19.7304347826, 17.7391304348, 21.7391304348, 575
18.9833333333, 17.0, 22.3333333333, 600
18.696, 16.0, 23.84, 625
18.3615384615, 15.6923076923, 20.1538461538, 650
17.5037037037, 16.1481481481, 19.2592592593, 675
17.2428571429, 16.0, 19.2857142857, 700
16.6068965517, 13.9310344828, 18.8965517241, 725
16.3, 13.8666666667, 19.2, 750
16.3290322581, 14.7096774194, 17.8064516129, 775
15.56875, 13.25, 17.375, 800
