average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
16.9142857143, 14.8571428571, 18.5714285714, 0.0
18.1214285714, 15.4285714286, 19.5714285714, 0.05
18.7357142857, 17.1428571429, 20.4285714286, 0.1
18.8142857143, 16.5714285714, 20.5714285714, 0.15
19.1142857143, 17.0, 21.5714285714, 0.2
19.1928571429, 17.2857142857, 21.1428571429, 0.25
18.8785714286, 16.4285714286, 20.8571428571, 0.3
19.2142857143, 17.2857142857, 21.4285714286, 0.35
19.1214285714, 17.1428571429, 20.7142857143, 0.4
19.3285714286, 17.2857142857, 21.5714285714, 0.45
19.4428571429, 17.4285714286, 21.5714285714, 0.5
19.0571428571, 17.1428571429, 22.4285714286, 0.55
19.3, 17.4285714286, 21.1428571429, 0.6
19.2642857143, 16.2857142857, 21.4285714286, 0.65
19.7214285714, 18.1428571429, 21.0, 0.7
18.9428571429, 16.7142857143, 21.0, 0.75
19.6285714286, 17.2857142857, 22.5714285714, 0.8
18.9714285714, 16.7142857143, 21.1428571429, 0.85
19.3714285714, 17.0, 22.1428571429, 0.9
18.8357142857, 16.7142857143, 21.2857142857, 0.95
18.6714285714, 16.8571428571, 22.4285714286, 1.0
