average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
2.75, 1.83333333333, 4.16666666667, 0.0
2.89166666667, 1.83333333333, 3.83333333333, 0.05
2.9, 1.83333333333, 4.5, 0.1
2.725, 1.83333333333, 4.33333333333, 0.15
3.08333333333, 2.16666666667, 4.16666666667, 0.2
3.15, 2.0, 4.5, 0.25
3.375, 2.16666666667, 4.5, 0.3
3.40833333333, 2.5, 4.5, 0.35
3.90833333333, 2.66666666667, 5.66666666667, 0.4
3.9, 2.66666666667, 5.5, 0.45
4.75833333333, 3.33333333333, 6.16666666667, 0.5
5.275, 3.5, 6.33333333333, 0.55
5.81666666667, 4.33333333333, 7.5, 0.6
6.35, 4.83333333333, 8.16666666667, 0.65
8.08333333333, 6.0, 10.5, 0.7
8.46666666667, 6.83333333333, 10.1666666667, 0.75
11.0, 9.0, 12.8333333333, 0.8
13.1916666667, 11.8333333333, 15.1666666667, 0.85
15.6833333333, 13.6666666667, 18.0, 0.9
17.2416666667, 14.8333333333, 18.6666666667, 0.95
18.9916666667, 16.6666666667, 21.5, 1.0
