average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
48.525, 44.75, 52.0, 0.05
56.7, 53.0, 64.75, 0.1
62.8, 56.0, 66.5, 0.15
67.025, 61.0, 71.75, 0.2
70.7125, 66.0, 75.0, 0.25
72.875, 68.5, 76.75, 0.3
76.3, 71.25, 79.75, 0.35
77.375, 75.25, 83.25, 0.4
78.0375, 74.75, 81.0, 0.45
79.7125, 76.25, 86.25, 0.5
80.5875, 78.25, 84.0, 0.55
81.875, 77.5, 84.0, 0.6
81.4375, 78.25, 84.5, 0.65
81.8125, 77.75, 86.25, 0.7
82.2875, 78.5, 86.0, 0.75
81.925, 80.25, 84.0, 0.8
82.175, 78.75, 86.25, 0.85
80.575, 78.0, 83.5, 0.9
80.5625, 76.0, 84.0, 0.95
80.2, 77.75, 82.75, 1.0
39.8625, 37.0, 43.25, 0.0
