average delivered (percent), min delivered (percent), max delivered (percent), Message count
58.76, 57.6, 60.2, 500
46.36, 45.0, 47.3, 1000
39.2133333333, 38.0, 41.0, 1500
33.22, 31.85, 34.2, 2000
29.232, 29.04, 29.52, 2500
25.9266666667, 25.4333333333, 26.5333333333, 3000
23.7085714286, 22.5428571429, 24.8, 3500
21.4, 20.875, 21.8, 4000
19.8311111111, 19.2222222222, 20.2, 4500
18.336, 17.82, 19.12, 5000
17.3963636364, 17.0909090909, 17.9636363636, 5500
16.3966666667, 16.25, 16.5666666667, 6000
