average delivered (percent), min delivered (percent), max delivered (percent), Message count
48.12, 45.0, 52.0, 500
35.58, 34.5, 36.4, 1000
26.7466666667, 25.4, 27.8666666667, 1500
22.12, 20.8, 22.85, 2000
18.928, 18.0, 19.32, 2500
16.2733333333, 15.5333333333, 16.9333333333, 3000
14.4057142857, 13.7428571429, 14.6571428571, 3500
12.895, 12.325, 13.375, 4000
11.6888888889, 11.1333333333, 12.0666666667, 4500
10.448, 9.78, 10.68, 5000
9.73818181818, 9.36363636364, 10.1090909091, 5500
9.04666666667, 8.71666666667, 9.3, 6000
8.50461538462, 8.29230769231, 8.86153846154, 6500
8.16285714286, 7.98571428571, 8.38571428571, 7000
7.68266666667, 7.54666666667, 7.86666666667, 7500
7.275, 6.925, 7.6125, 8000
