average delivered (percent), min delivered (percent), max delivered (percent), Distance Priority Fraction
6.23666666667, 6.0, 6.58333333333, 0.0
14.8033333333, 14.3, 15.3666666667, 0.1
15.8833333333, 15.6, 16.0833333333, 0.2
16.2866666667, 16.05, 16.7333333333, 0.3
15.99, 15.5833333333, 16.5166666667, 0.4
15.98, 15.55, 16.4833333333, 0.5
15.61, 15.1, 15.9666666667, 0.6
14.85, 14.5833333333, 15.6, 0.7
14.65, 14.0, 14.9333333333, 0.8
14.0033333333, 13.45, 14.5833333333, 0.9
13.3733333333, 12.7666666667, 14.0, 1.0
