average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
5.14666666667, 5.06666666667, 5.22666666667, 0.0
12.3466666667, 11.5733333333, 12.8533333333, 0.1
13.2106666667, 12.8533333333, 13.84, 0.2
13.6746666667, 13.0133333333, 14.3733333333, 0.3
12.7626666667, 12.1066666667, 13.6266666667, 0.4
12.5333333333, 12.24, 12.8266666667, 0.5
11.9146666667, 11.0133333333, 12.3466666667, 0.6
11.024, 10.6133333333, 11.3866666667, 0.7
10.9973333333, 10.4533333333, 11.84, 0.8
10.1653333333, 9.49333333333, 10.72, 0.9
9.64266666667, 9.33333333333, 9.84, 1.0
