average delivered (percent), min delivered (percent), max delivered (percent), Not Closer Show Probability
3.95666666667, 3.51666666667, 4.3, 0.0
8.44, 8.1, 8.85, 0.1
9.18666666667, 8.78333333333, 9.48333333333, 0.2
9.23333333333, 8.98333333333, 9.38333333333, 0.3
8.69, 8.23333333333, 8.88333333333, 0.4
8.47666666667, 8.3, 8.63333333333, 0.5
7.84333333333, 7.4, 8.3, 0.6
7.39, 6.91666666667, 7.65, 0.7
7.03666666667, 6.8, 7.16666666667, 0.8
6.50666666667, 6.3, 6.7, 0.9
6.30666666667, 5.85, 6.83333333333, 1.0
