average delivered (percent), min delivered (percent), max delivered (percent), Message count
100.0, 100.0, 100.0, 25
100.0, 100.0, 100.0, 50
100.0, 100.0, 100.0, 75
99.9, 98.0, 100.0, 100
99.88, 99.2, 100.0, 125
99.9666666667, 99.3333333333, 100.0, 150
99.9428571429, 99.4285714286, 100.0, 175
99.7, 98.5, 100.0, 200
99.6666666667, 98.2222222222, 100.0, 225
99.62, 98.8, 100.0, 250
99.0909090909, 97.8181818182, 100.0, 275
99.0166666667, 97.3333333333, 100.0, 300
98.8, 96.6153846154, 100.0, 325
98.3857142857, 94.2857142857, 99.7142857143, 350
97.8666666667, 96.2666666667, 99.2, 375
97.0375, 94.25, 98.75, 400
96.8, 93.4117647059, 98.8235294118, 425
96.2777777778, 94.0, 98.4444444444, 450
95.5473684211, 92.2105263158, 97.4736842105, 475
94.94, 92.4, 98.2, 500
94.0952380952, 91.2380952381, 96.7619047619, 525
93.1454545455, 90.7272727273, 96.0, 550
92.5304347826, 89.2173913043, 94.4347826087, 575
92.025, 89.0, 94.5, 600
90.512, 87.36, 93.44, 625
90.0461538462, 86.0, 92.6153846154, 650
89.3555555556, 86.5185185185, 92.0, 675
88.2857142857, 86.1428571429, 91.1428571429, 700
87.7034482759, 85.3793103448, 89.9310344828, 725
86.1, 82.4, 89.2, 750
86.1806451613, 84.1290322581, 87.4838709677, 775
84.225, 81.25, 87.25, 800
