average delivered (percent), min delivered (percent), max delivered (percent), Message count
100.0, 100.0, 100.0, 25
100.0, 100.0, 100.0, 50
100.0, 100.0, 100.0, 75
99.95, 99.0, 100.0, 100
99.8, 98.4, 100.0, 125
99.0, 97.3333333333, 100.0, 150
98.2, 96.0, 99.4285714286, 175
94.875, 89.5, 97.5, 200
92.6888888889, 89.3333333333, 95.1111111111, 225
90.64, 86.0, 94.0, 250
87.9090909091, 84.0, 90.9090909091, 275
83.8166666667, 79.6666666667, 87.6666666667, 300
80.8769230769, 78.4615384615, 84.6153846154, 325
79.0857142857, 73.7142857143, 82.0, 350
74.9866666667, 68.2666666667, 78.6666666667, 375
72.3125, 68.5, 76.25, 400
70.3411764706, 63.5294117647, 75.2941176471, 425
67.6444444444, 64.8888888889, 70.0, 450
65.5894736842, 62.3157894737, 72.4210526316, 475
63.42, 57.0, 67.2, 500
61.1714285714, 57.7142857143, 66.6666666667, 525
58.5454545455, 55.2727272727, 62.3636363636, 550
57.1304347826, 53.2173913043, 61.0434782609, 575
56.5416666667, 53.8333333333, 61.1666666667, 600
53.104, 49.12, 56.16, 625
52.0923076923, 48.9230769231, 55.5384615385, 650
50.2074074074, 46.2222222222, 53.4814814815, 675
49.4571428571, 46.0, 53.7142857143, 700
48.0620689655, 44.5517241379, 51.724137931, 725
46.3, 44.1333333333, 49.6, 750
45.4322580645, 42.1935483871, 48.9032258065, 775
44.15, 42.125, 47.25, 800
