average delivered (percent), min delivered (percent), max delivered (percent), Message count
79.8, 60.0, 92.0, 25
83.5, 74.0, 90.0, 50
82.1333333333, 72.0, 88.0, 75
81.15, 74.0, 87.0, 100
81.24, 72.0, 87.2, 125
81.2, 75.3333333333, 87.3333333333, 150
81.5428571429, 77.1428571429, 85.1428571429, 175
80.225, 76.0, 86.5, 200
81.0, 74.6666666667, 86.2222222222, 225
81.36, 78.0, 85.2, 250
80.4363636364, 76.3636363636, 84.0, 275
79.2666666667, 76.6666666667, 83.6666666667, 300
79.2153846154, 75.0769230769, 83.3846153846, 325
79.0142857143, 75.1428571429, 84.8571428571, 350
78.8533333333, 74.9333333333, 80.5333333333, 375
77.6125, 74.0, 80.75, 400
76.8235294118, 73.1764705882, 79.5294117647, 425
76.8111111111, 72.2222222222, 79.3333333333, 450
75.2631578947, 71.7894736842, 79.1578947368, 475
74.46, 71.0, 78.6, 500
73.4380952381, 70.4761904762, 77.7142857143, 525
72.7909090909, 69.2727272727, 75.6363636364, 550
71.6, 69.2173913043, 74.2608695652, 575
71.1, 68.5, 74.1666666667, 600
69.704, 66.88, 72.8, 625
69.0461538462, 65.3846153846, 72.1538461538, 650
68.2518518519, 62.962962963, 70.962962963, 675
67.3642857143, 63.5714285714, 71.2857142857, 700
66.1448275862, 63.5862068966, 67.5862068966, 725
64.9333333333, 61.6, 67.6, 750
64.3290322581, 61.1612903226, 65.6774193548, 775
62.9625, 61.5, 65.375, 800
