average delivered (percent), min delivered (percent), max delivered (percent), Message count
100.0, 100.0, 100.0, 25
99.9, 98.0, 100.0, 50
100.0, 100.0, 100.0, 75
99.95, 99.0, 100.0, 100
99.56, 97.6, 100.0, 125
99.3333333333, 98.6666666667, 100.0, 150
97.6285714286, 95.4285714286, 100.0, 175
95.525, 87.5, 99.0, 200
91.9777777778, 89.3333333333, 95.5555555556, 225
90.64, 86.4, 94.4, 250
87.4727272727, 84.3636363636, 92.3636363636, 275
84.3, 80.6666666667, 86.6666666667, 300
81.3230769231, 76.0, 86.1538461538, 325
78.7142857143, 74.8571428571, 82.0, 350
74.4933333333, 69.0666666667, 79.2, 375
73.325, 68.5, 76.0, 400
71.0941176471, 65.8823529412, 76.0, 425
67.9111111111, 64.6666666667, 72.6666666667, 450
65.3894736842, 62.1052631579, 67.7894736842, 475
63.19, 57.8, 67.2, 500
61.2666666667, 58.6666666667, 65.5238095238, 525
59.4181818182, 56.0, 63.2727272727, 550
57.652173913, 52.6956521739, 61.2173913043, 575
55.3666666667, 49.5, 58.5, 600
53.152, 48.96, 55.84, 625
51.5846153846, 48.4615384615, 54.7692307692, 650
50.3185185185, 45.1851851852, 52.7407407407, 675
48.9928571429, 44.4285714286, 53.0, 700
47.7448275862, 44.0, 50.4827586207, 725
46.4666666667, 43.4666666667, 49.8666666667, 750
45.1032258065, 42.4516129032, 48.3870967742, 775
43.49375, 40.125, 46.5, 800
